time,cwnd
0.054,5900
0.054,7080
0.054,8260
0.054,9440
0.111,10620
0.112,11800
0.164,11800
0.219,8462
0.219,9464
0.260,6770
0.398,3385
0.439,3879
0.532,2360
0.573,8024
0.614,8232
0.614,8435
0.614,8633
0.614,8827
0.614,9016
0.614,9201
0.614,9383
0.654,9561
0.655,9736
0.655,9907
0.655,10076
0.655,10242
0.655,10405
0.655,10566
0.656,10724
0.695,10880
0.695,11033
0.695,11185
0.695,11334
0.695,11481
0.696,11627
0.696,11771
0.696,11913
0.696,12053
0.696,12192
0.736,12329
0.736,12464
0.736,12598
0.736,12731
0.736,12862
0.736,12992
0.736,13121
0.736,13248
0.736,13374
0.736,13499
0.736,13623
0.776,13745
0.776,13867
0.776,13987
0.777,14107
0.777,14225
0.777,14343
0.777,14459
0.777,14575
0.777,14690
0.777,14803
0.777,14916
0.777,15028
0.817,15139
0.817,15250
0.817,15359
0.817,15468
0.817,15576
0.817,15683
0.818,15790
0.818,15896
0.818,16001
0.818,16105
0.818,16209
0.818,16312
0.818,16415
0.858,16516
0.858,16617
0.858,16718
0.858,16818
0.858,16917
0.858,17016
0.858,17114
0.858,17212
0.858,17309
0.858,17406
0.858,17502
0.859,17597
0.859,17692
0.859,17786
0.898,17880
0.898,17974
0.899,18067
0.899,18159
0.899,18251
0.899,18343
0.899,18434
0.899,18525
0.899,18615
0.899,18704
0.899,18794
0.899,18883
0.899,18971
0.900,19059
0.900,19147
0.900,19234
0.939,19321
0.939,19408
0.939,19494
0.939,19579
0.939,19665
0.940,19750
0.940,19834
0.940,19919
0.940,20002
0.940,20086
0.940,20169
0.940,20252
0.940,20334
0.940,20417
0.940,20498
0.940,20580
0.940,20661
0.980,20742
0.980,20823
0.980,20903
0.980,20983
0.980,21062
0.980,21142
0.980,21221
0.980,21300
0.980,21378
0.980,21456
0.980,21534
0.980,21612
0.981,21689
0.981,21766
0.981,21843
0.981,21919
0.981,21995
0.981,22071
1.020,22147
1.020,22223
1.021,22298
1.021,22373
1.021,22447
1.021,22522
1.021,22596
1.021,22670
1.021,22744
1.021,22817
1.021,22890
1.021,22963
1.021,23036
1.021,23109
1.022,23181
1.022,23253
1.022,23325
1.022,23396
1.022,23468
1.072,23539
1.072,23610
1.073,23681
1.073,23751
1.073,23822
1.073,23892
1.073,23962
1.073,24032
1.074,24101
1.074,24170
1.074,24240
1.074,24308
1.074,24377
1.074,24446
1.075,24514
1.076,24582
1.077,24650
1.077,24718
1.077,24786
1.077,24853
1.130,24920
1.130,24987
1.131,21031
1.172,17587
1.188,8793
1.229,9173
1.256,4587
1.297,5680
1.353,2840
1.394,4017
1.490,2360
1.531,3068
1.685,2360
1.725,3068
1.959,2360
2.000,3068
2.346,2360
2.387,3068
2.892,2360
2.932,3068
3.660,2360
3.701,3068
4.077,2360
4.118,3068
4.119,2360
4.160,3776
4.161,2360
4.202,3068
4.203,2360
4.250,3068
4.251,2360
7.254,2360
7.295,4484
7.336,4857
7.336,5201
7.336,5522
7.336,5825
