bw,loss,delay_c2_ms,udp_off_mean,iter,md5_hash_1,md5_hash_2,ttc1,ttc2,size1_bytes,size2_bytes,thr1_mbps,thr2_mbps,link_util,jfi 
100,0,5,None,0,67d9ea16a7ca6be5ba14a8def4dd8473,67d9ea16a7ca6be5ba14a8def4dd8473,6.724812,6.753359,32317690,32317690,38.445913,38.283396,0.767293,0.999996
200,0,5,None,0,67d9ea16a7ca6be5ba14a8def4dd8473,67d9ea16a7ca6be5ba14a8def4dd8473,6.289340,7.728356,32317690,32317690,41.107895,33.453626,0.372808,0.989571
300,0,5,None,0,67d9ea16a7ca6be5ba14a8def4dd8473,67d9ea16a7ca6be5ba14a8def4dd8473,6.292469,6.286237,32317690,32317690,41.087454,41.128182,0.274052,1.000000
400,0,5,None,0,67d9ea16a7ca6be5ba14a8def4dd8473,67d9ea16a7ca6be5ba14a8def4dd8473,6.299225,6.263494,32317690,32317690,41.043385,41.277520,0.205802,0.999992
500,0,5,None,0,67d9ea16a7ca6be5ba14a8def4dd8473,67d9ea16a7ca6be5ba14a8def4dd8473,6.930294,6.183861,32317690,32317690,37.305996,41.809075,0.158230,0.996771
600,0,5,None,0,67d9ea16a7ca6be5ba14a8def4dd8473,67d9ea16a7ca6be5ba14a8def4dd8473,6.248097,6.232291,32317690,32317690,41.379241,41.484186,0.138106,0.999998
700,0,5,None,0,67d9ea16a7ca6be5ba14a8def4dd8473,67d9ea16a7ca6be5ba14a8def4dd8473,6.798421,6.161312,32317690,32317690,38.029642,41.962088,0.114274,0.997589
800,0,5,None,0,67d9ea16a7ca6be5ba14a8def4dd8473,67d9ea16a7ca6be5ba14a8def4dd8473,6.301878,6.288005,32317690,32317690,41.026104,41.116621,0.102678,0.999999
900,0,5,None,0,67d9ea16a7ca6be5ba14a8def4dd8473,67d9ea16a7ca6be5ba14a8def4dd8473,6.899209,6.259029,32317690,32317690,37.474080,41.306969,0.087534,0.997639
1000,0,5,None,0,67d9ea16a7ca6be5ba14a8def4dd8473,67d9ea16a7ca6be5ba14a8def4dd8473,7.097032,7.081936,32317690,32317690,36.429529,36.507180,0.072937,0.999999
